openai/gpt-6-sol-pro	OpenAI: GPT-6 Sol Pro
nickmuchi/finbert-tone-finetuned-finance-topic-classification	finbert-tone-finetuned-finance-topic-classification
yiyanghkust/finbert-tone-chinese	finbert-tone-chinese
Yifeng-Liu/rt-detr-finetuned-for-satellite-image-roofs-detection	rt-detr-finetuned-for-satellite-image-roofs-detection
mfaytin/mask2former-satellite	mask2former-satellite
Pranilllllll/segformer-satellite-segementation	segformer-satellite-segementation
prithivMLmods/Weather-Image-Classification	Weather-Image-Classification
neulab/codebert-python	codebert-python
microsoft/codebert-base	codebert-base
microsoft/codebert-base-mlm	codebert-base-mlm
Qwen/Qwen2.5-Math-1.5B-Instruct	Qwen2.5-Math-1.5B-Instruct
Qwen/Qwen2.5-Math-PRM-7B	Qwen2.5-Math-PRM-7B
unitary/unbiased-toxic-roberta	unbiased-toxic-roberta
martin-ha/toxic-comment-model	toxic-comment-model
s-nlp/roberta_toxicity_classifier	roberta_toxicity_classifier
facebook/esm2_t33_650M_UR50D	esm2_t33_650M_UR50D
facebook/esmfold_v1	esmfold_v1
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species	nucleotide-transformer-v2-500m-multi-species
microsoft/BioGPT-Large	BioGPT-Large
stanford-crfm/BioMedLM	BioMedLM
ibm-nasa-geospatial/Prithvi-EO-2.0-300M	Prithvi-EO-2.0-300M
ibm-nasa-geospatial/Prithvi-EO-2.0-600M	Prithvi-EO-2.0-600M
microsoft/aurora	aurora
ibm-nasa-geospatial/Prithvi-WxC-1.0-2300M	Prithvi-WxC-1.0-2300M
ibm-research/MoLFormer-XL-both-10pct	MoLFormer-XL-both-10pct
microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224	BiomedCLIP-PubMedBERT_256-vit_base_patch16_224
openai/gpt-transcribe	GPT Transcribe
openai/gpt-4o-mini-tts	GPT-4o mini TTS
openai/gpt-realtime-2.1	GPT Realtime 2.1
elevenlabs/scribe-v2	Scribe v2
elevenlabs/eleven-v3	Eleven v3
deepgram/nova-3	Nova-3
deepgram/aura-2	Aura-2
assemblyai/universal-3-5-pro	Universal-3.5 Pro
cartesia/sonic-3.6	Sonic 3.6
google/gemini-3.8-live	Gemini 3.8 Live
